player_modelo,nacion,goles_int,xg_int,remates_int,n_part,score_match,factor_xg
Joey Veerman,NED,0,0.14,2,6,100.0,1.0
Marc Guéhi,ENG,0,0.14,2,6,100.0,1.0
Matias Arezo,URU,1,0.1,2,5,85.5,1.0
Cristian Cásseres Jr.,VEN,0,0.08,2,3,85.0,1.0
Nathan Aké,NED,0,0.11,2,6,100.0,1.0
Nico Schlotterbeck,GER,0,0.07,2,3,100.0,1.0
Ernest Nuamah,GHA,0,0.08,2,1,85.5,1.0
Felipe,BRA,0,0.12,2,4,90.0,1.0
Elseid Hysaj,ALB,0,0.1,2,2,100.0,1.0
Nicola Zalewski,POL,0,0.12,2,3,100.0,1.0
Berat Djimsiti,ALB,0,0.1,2,3,100.0,1.0
Bilal El Khannouss,MAR,0,0.31,2,3,97.1,1.0
Billy Gilmour,SCO,0,0.09,2,3,100.0,1.0
Krépin Diatta,SEN,0,0.09,2,4,100.0,1.0
Lovro Majer,CRO,0,0.16,2,3,100.0,1.0
Davide Frattesi,ITA,0,0.27,2,4,100.0,1.0
Demarai Gray,JAM,0,0.1,2,3,100.0,1.0
Joško Gvardiol,CRO,0,0.07,2,3,100.0,1.0
Jules Koundé,FRA,1,0.85,2,6,100.0,1.0
Kacper Urbanski,POL,0,0.1,2,3,100.0,1.0
Ondrej Duda,SVK,1,0.13,2,4,100.0,1.0
Antoine Semenyo,GHA,0,0.08,2,3,100.0,1.0
Arthur Theate,BEL,0,0.01,2,3,100.0,1.0
Armando Broja,ALB,0,0.23,2,2,100.0,1.0
Ben Brereton,CHI,0,0.08,2,3,95.0,1.0
Fermin López,ESP,0,0.04,2,1,90.0,1.0
Philipp Lienhart,AUT,0,0.18,2,3,100.0,1.0
Tomas Ángel,COL,1,0.84,2,2,85.5,1.0
Michel Aebischer,SUI,1,0.09,2,5,100.0,1.0
Wilker Ángel,VEN,0,0.78,1,3,85.5,1.0
Kieran Trippier,ENG,0,0.09,1,6,100.0,1.0
David Raum,GER,0,0.02,1,3,100.0,1.0
Juan David Cabal,COL,0,0.02,1,3,85.5,1.0
Derek Cornelius,CAN,0,0.04,1,6,100.0,1.0
Amine Harit,MAR,0,0.04,1,3,100.0,1.0
Amir Richardson,MAR,0,0.08,1,1,100.0,1.0
Mattia Zaccagni,ITA,1,0.22,2,3,100.0,1.0
Chris Richards,USA,0,0.18,2,3,100.0,1.0
Christopher Wooh,CMR,1,0.23,2,4,100.0,1.0
José Luis Rodríguez,PAN,0,0.06,2,1,95.0,1.0
Jonathan Osorio,CAN,0,0.68,2,6,100.0,1.0
Eberechi Eze,ENG,0,0.04,2,3,100.0,1.0
Gabriel,BRA,0,0.85,2,4,90.0,1.0
Konrad Laimer,AUT,0,0.27,2,4,100.0,1.0
Klaus Gjasula,ALB,1,0.18,2,1,100.0,1.0
László Bénes,SVK,0,0.08,1,2,100.0,1.0
Lazar Samardzic,SRB,0,0.05,1,2,100.0,1.0
Lewis Morgan,SCO,0,0.06,1,1,100.0,1.0
Kevin Danso,AUT,0,0.04,1,3,100.0,1.0
Romain Saïss,MAR,1,0.41,1,3,100.0,1.0
Romano Schmid,AUT,1,0.18,1,4,100.0,1.0
Saba Lobzhanidze,GEO,0,0.31,1,1,100.0,1.0
Duván Zapata,COL,0,0.18,2,4,85.5,1.0
Karol Świderski,POL,0,0.2,2,3,100.0,1.0
Weston McKennie,USA,0,0.24,2,3,100.0,1.0
William Saliba,FRA,0,0.11,2,6,100.0,1.0
Zuriko Davitashvili,GEO,0,0.17,2,4,100.0,1.0
Papa Amadou Diallo,SEN,0,0.16,2,3,86.1,1.0
Yaser Asprilla,COL,0,0.22,2,1,85.5,1.0
Adalberto Carrasquilla,PAN,0,0.07,2,2,85.5,1.0
Wilder Cartagena,PER,0,0.01,1,3,85.5,1.0
Darlin Yongwa,CMR,0,0.03,1,2,85.5,1.0
Luka Jović,SRB,1,0.14,1,3,100.0,1.0
Douglas Luiz,BRA,0,0.78,1,3,90.0,1.0
Gonçalo Ramos,POR,0,0.1,1,1,85.5,1.0
Gonzalo Montiel,ARG,1,0.78,1,6,95.0,1.0
Guilherme,BRA,0,0.05,1,2,90.0,1.0
Idrissa Gana Gueye,SEN,0,0.04,1,1,95.0,1.0
André Carrillo,PER,0,0.02,1,1,85.5,1.0
Andre-Frank Zambo Anguissa,CMR,0,0.2,1,4,100.0,1.0
Telasco Segovia,VEN,0,0.04,1,1,85.5,1.0
Terem Moffi,NGA,1,0.78,1,2,85.5,1.0
Thomas Müller,GER,0,0.24,1,2,100.0,1.0
Stanislav Lobotka,SVK,0,0.02,1,4,100.0,1.0
Steven Bergwijn,NED,0,0.03,1,2,100.0,1.0
Gio Reyna,USA,0,0.07,1,3,85.5,1.0
Iñaki Williams,GHA,0,0.1,1,2,90.0,1.0
Marc Cucurella,ESP,0,0.02,1,6,90.0,1.0
Marcos André,BRA,0,0.17,1,4,85.5,1.0
Marcos Acuña,ARG,0,0.02,1,2,85.5,1.0
Marcos López,PER,0,0.02,1,3,85.5,1.0
Mario Mitaj,ALB,0,0.03,1,3,100.0,1.0
Brian Ocampo,URU,0,0.13,1,1,85.5,1.0
Paul Onuachu,NGA,0,0.14,1,4,100.0,1.0
Salih Özcan,TUR,0,0.03,1,4,100.0,1.0
Santiago Arias,COL,0,0.02,1,3,90.0,1.0
Saša Lukić,SRB,0,0.09,1,3,100.0,1.0
Selim Amallah,MAR,0,0.07,1,3,100.0,1.0
Andreas Skov Olsen,DEN,0,0.04,1,3,100.0,1.0
Andrei Burcă,ROU,0,0.11,1,4,90.0,1.0
Damion Lowe,JAM,0,0.02,1,3,100.0,1.0
Ricardo Pereira,POR,0,0.23,1,1,85.5,1.0
Danilo,BRA,0,0.08,1,4,90.0,1.0
Joe Scally,USA,0,0.02,1,3,87.0,1.0
Josip Stanišić,CRO,0,0.22,1,2,100.0,1.0
Malik Tillman,USA,0,0.06,1,1,100.0,1.0
Benjamin Henrichs,GER,0,0.02,1,1,100.0,1.0
Nicolas Jackson,SEN,0,0.07,1,4,100.0,1.0
Nicolas Seiwald,AUT,0,0.03,1,4,100.0,1.0
Nicolò Barella,ITA,1,0.08,1,4,100.0,1.0
Iliman Ndiaye,SEN,1,0.15,1,4,100.0,1.0
Fabian Rieder,SUI,0,0.01,1,5,100.0,1.0
Petar Stojanović,SVN,0,0.02,1,4,100.0,1.0
Piero Hincapié,ECU,0,0.01,1,4,85.5,1.0
Ariel Lassiter,CRC,0,0.02,1,2,100.0,1.0
Attila Szalai,HUN,0,0.1,1,2,100.0,1.0
Rafael Borré,COL,0,0.31,1,4,85.5,1.0
Pascal Groß,GER,0,0.03,1,1,100.0,1.0
Manuel Akanji,SUI,0,0.78,1,5,85.5,1.0
Medon Berisha,ALB,0,0.03,1,1,100.0,1.0
Zeki Çelik,TUR,0,0.24,1,3,90.0,1.0
Matheus Nunes,POR,0,0.19,1,2,95.0,1.0
Mathieu Choinière,CAN,1,0.78,1,2,100.0,1.0
Nahuel Molina,ARG,0,0.15,1,5,90.0,1.0
Nayef Aguerd,MAR,0,0.06,1,4,100.0,1.0
Joakim Mæhle,DEN,0,0.09,1,4,100.0,1.0
Pavel Kadeřábek,CZE,0,0.06,1,1,85.5,1.0
Paweł Dawidowicz,POL,0,0.07,1,2,100.0,1.0
Ismael Saibari,MAR,0,0.1,1,2,100.0,1.0
Jack Hendry,SCO,0,0.07,1,3,100.0,1.0
Jerdy Schouten,NED,0,0.07,1,6,100.0,1.0
Jesús Castillo,PER,0,0.03,1,1,85.5,1.0
Matías Rojas,PAR,0,0.02,1,1,85.5,1.0
Matteo Darmian,ITA,0,0.06,1,3,100.0,1.0
Joseph Paintsil,GHA,0,0.29,1,3,100.0,1.0
Jon Aramburu,VEN,0,0.03,1,3,85.5,1.0
Josip Šutalo,CRO,0,0.28,1,3,100.0,1.0
Matúš Bero,SVK,0,0.01,1,2,100.0,1.0
Budu Zivzivadze,GEO,0,0.06,1,2,100.0,1.0
Bamba Dieng,SEN,1,0.78,1,1,85.5,1.0
Miguel Almirón,PAR,0,0.03,1,3,85.5,1.0
Miguel Araujo,PER,0,0.09,1,2,85.5,1.0
Nicolò Fagioli,ITA,0,0.02,1,2,100.0,1.0
Oleksandr Zinchenko,UKR,0,0.01,1,3,100.0,1.0
Jaka Bijol,SVN,0,0.04,1,4,100.0,1.0
Jan Bednarek,POL,0,0.2,1,3,100.0,1.0
David Martínez,VEN,0,0.78,1,3,85.5,1.0
Moussa Niakhate,SEN,0,0.78,1,2,100.0,1.0
Nahitan Nández,URU,0,0.17,1,5,85.5,1.0
Chris Führich,GER,0,0.03,1,1,100.0,1.0
Cristian Romero,ARG,0,0.08,1,5,85.5,1.0
Edson Álvarez,MEX,0,0.0,0,1,85.5,1.0
Andrés Cubas,PAR,0,0.0,0,2,90.0,1.0
Alexander Prass,AUT,0,0.0,0,4,100.0,1.0
Mateo Gamarra,PAR,0,0.0,0,2,85.5,1.0
Andrés García,ESP,0,0.0,0,2,85.5,1.0
Vitezslav Jaros,CZE,0,0.0,0,1,100.0,1.0
Vitaliy Mykolenko,UKR,0,0.0,0,1,94.1,1.0
Emre Can,GER,1,0.05,1,4,100.0,1.0
Ethan Pinnock,JAM,0,0.13,1,3,100.0,1.0
Jonathan Tah,GER,0,0.02,1,4,100.0,1.0
Mikkel Damsgaard,DEN,0,0.02,1,1,100.0,1.0
João Neves,POR,0,0.04,1,2,100.0,1.0
João Victor,BRA,0,0.03,1,4,90.0,1.0
Joe Aribo,NGA,0,0.05,1,5,100.0,1.0
Johan Mojica,COL,0,0.06,1,6,85.5,1.0
John Stones,ENG,0,0.07,1,7,100.0,1.0
Unai Simón,ESP,0,0.0,0,6,90.0,1.0
Tyler Adams,USA,0,0.0,0,3,100.0,1.0
Tomáš Suslov,SVK,0,0.0,0,4,100.0,1.0
Chidozie Awaziem,NGA,0,0.0,0,1,85.5,1.0
Cheikhou Kouyaté,SEN,0,0.0,0,1,100.0,1.0
Charles De Ketelaere,BEL,0,0.0,0,1,100.0,1.0
Carlos Harvey,PAN,0,0.0,0,2,85.5,1.0
Victor Bernth Kristiansen,DEN,0,0.05,1,4,98.0,1.0
Germán Pezzella,ARG,0,0.02,1,1,85.5,1.0
Gustavo Gómez,PAR,0,0.06,1,3,85.5,1.0
Vincent Sierro,SUI,0,0.02,1,4,100.0,1.0
Alejandro Bran,CRC,0,0.02,1,2,85.5,1.0
Andre Brooks,JAM,0,0.01,1,1,85.5,1.0
Ali Ahmed,CAN,0,0.07,1,3,100.0,1.0
Gernot Trauner,AUT,1,0.13,1,2,100.0,1.0
Giacomo Raspadori,ITA,0,0.07,1,2,100.0,1.0
Mike Maignan,FRA,0,0.0,0,6,100.0,1.0
Jordan Pickford,ENG,0,0.0,0,7,100.0,1.0
Erick Pulgar,CHI,0,0.0,0,3,85.5,1.0
Enzo Boyomo,CMR,0,0.0,0,3,85.5,1.0
Elisha Owusu,GHA,0,0.0,0,1,100.0,1.0
Luca de la Torre,USA,0,0.0,0,2,85.5,1.0
Nemanja Gudelj,SRB,0,0.0,0,2,100.0,1.0
Gideon Mensah,GHA,0,0.0,0,3,100.0,1.0
Adam Obert,SVK,0,0.0,0,2,100.0,1.0
Yvan Neyou,CMR,0,0.0,0,1,90.0,1.0
Yussuf Poulsen,DEN,0,0.0,0,4,85.5,1.0
Yunus Musah,USA,0,0.0,0,2,85.5,1.0
Yunis Abdelhamid,MAR,0,0.0,0,1,100.0,1.0
Ylber Ramadani,ALB,0,0.0,0,3,100.0,1.0
Yerry Mina,COL,0,0.0,0,2,85.5,1.0
Valentin Carboni,ARG,0,0.0,0,1,100.0,1.0
Oleksandr Svatok,UKR,0,0.0,0,1,100.0,1.0
Noussair Mazraoui,MAR,0,0.0,0,1,100.0,1.0
Norbert Gyömbér,SVK,0,0.0,0,1,100.0,1.0
Nikola Milenković,SRB,0,0.0,0,3,100.0,1.0
Gastón Giménez,PAR,0,0.0,0,2,85.5,1.0
Ezri Konsa,ENG,0,0.0,0,2,90.0,1.0
Orlando Mosquera,PAN,0,0.0,0,4,100.0,1.0
Carlos Gruezo,ECU,0,0.0,0,4,85.5,1.0
Cameron Harper,USA,0,0.0,0,1,85.5,1.0
Mohammed Salisu,GHA,0,0.0,0,3,96.6,1.0
Matt Turner,USA,0,0.0,0,3,85.5,1.0
Jon Bell,JAM,0,0.0,0,1,85.5,1.0
John McGinn,SCO,0,0.0,0,3,100.0,1.0
Joel Campbell,CRC,0,0.0,0,3,85.5,1.0
Miloš Veljković,SRB,0,0.0,0,3,100.0,1.0
Milos Kerkez,HUN,0,0.0,0,3,100.0,1.0
Lutsharel Geertruida,NED,0,0.0,0,2,100.0,1.0
Luke Shaw,ENG,0,0.0,0,3,100.0,1.0
Josip Juranović,CRO,0,0.0,0,2,100.0,1.0
Joshua Zirkzee,NED,0,0.0,0,2,100.0,1.0
Lucas Chávez,BOL,0,0.0,0,3,85.5,1.0
Iglesias,ESP,0,0.0,0,4,90.0,1.0
Luiz Felipe,ITA,0,0.0,0,3,85.5,1.0
Micky van de Ven,NED,0,0.0,0,4,100.0,1.0
Michael Folorunsho,ITA,0,0.0,0,1,95.0,1.0
Maximilian Wöber,AUT,0,0.0,0,3,100.0,1.0
Conor Gallagher,ENG,0,0.0,0,5,100.0,1.0
Claudio Bravo,CHI,0,0.0,0,2,85.5,1.0
Maximilian Beier,GER,0,0.0,0,1,100.0,1.0
Maxime Crépeau,CAN,0,0.0,0,5,100.0,1.0
Jarrod Bowen,ENG,0,0.0,0,2,100.0,1.0
Jan Oblak,SVN,0,0.0,0,4,100.0,1.0
Lucas Sanabria,URU,0,0.0,0,2,85.5,1.0
Lucas Martínez Quarta,ARG,0,0.0,0,1,100.0,1.0
Matej Kovar,CZE,0,0.0,0,1,100.0,1.0
Martín Zubimendi,ESP,0,0.0,0,4,95.0,1.0
Martin Dúbravka,SVK,0,0.0,0,4,100.0,1.0
Marin Pongračić,CRO,0,0.0,0,2,100.0,1.0
Manuel Neuer,GER,0,0.0,0,5,100.0,1.0
Orel Mangala,BEL,0,0.0,0,4,100.0,1.0
Ismaila Sarr,SEN,1,1.02,7,4,100.0,1.002
Théo Le Bris,FRA,1,1.03,5,6,85.5,1.003
Ismaël Koné,CAN,2,2.03,7,5,100.0,1.003
Harry Kane,ENG,3,3.05,18,7,100.0,1.004
Achraf Hakimi,MAR,1,1.06,6,4,95.0,1.007
Mihai Dobre,ROU,1,1.1,5,4,85.5,1.012
James Rodríguez,COL,1,1.11,8,6,85.5,1.014
Maximilian Mittelstädt,GER,0,0.15,5,4,100.0,1.024
Patrik Schick,CZE,1,1.19,7,3,100.0,1.024
Nicolás De La Cruz,URU,0,0.18,5,5,90.0,1.029
Kerem Aktürkoğlu,TUR,1,1.25,6,5,90.0,1.03
Dan Ndoye,SUI,1,1.24,14,5,100.0,1.03
Ousmane Dembélé,FRA,1,1.24,9,5,100.0,1.03
Florian Grillitsch,AUT,0,0.2,5,4,100.0,1.032
Ladislav Krejčí,CZE,0,0.2,5,3,100.0,1.032
Davinson Sánchez,COL,1,1.28,7,6,95.0,1.034
João Palhinha,POR,0,0.21,5,4,85.5,1.034
Dominik Szoboszlai,HUN,0,0.22,6,3,100.0,1.036
Pierre Højbjerg,DEN,0,0.23,7,4,83.3,1.037
N'Golo Kanté,FRA,0,0.24,5,6,100.0,1.039
Johan Vásquez,MEX,0,0.25,5,3,85.5,1.041
Federico Chiesa,ITA,0,0.25,8,4,100.0,1.041
Kobbie Mainoo,ENG,0,0.25,5,6,100.0,1.041
Jeremy Doku,BEL,0,0.26,5,4,100.0,1.042
Aymeric Laporte,ESP,0,0.27,5,6,100.0,1.044
Luka Modrić,CRO,1,1.36,5,3,100.0,1.044
Dušan Vlahović,SRB,0,0.27,6,3,100.0,1.044
Robert Andrich,GER,0,0.28,7,5,100.0,1.045
Leroy Sané,GER,0,0.28,7,5,100.0,1.046
Mykhailo Mudryk,UKR,0,0.3,6,2,100.0,1.048
Joshua Kimmich,GER,0,0.31,7,5,100.0,1.05
Alexis Mac Allister,ARG,1,1.41,7,5,100.0,1.05
Sphephelo Sithole,RSA,0,0.31,5,7,95.0,1.051
Mateo Kovačić,CRO,0,0.33,6,3,100.0,1.053
Bruno Guimarães,BRA,0,0.34,6,4,90.0,1.055
Stefan Posch,AUT,0,0.34,7,4,100.0,1.055
Virgil van Dijk,NED,0,0.35,5,6,100.0,1.056
Alex Iwobi,NGA,0,0.36,7,7,100.0,1.058
Frank Onyeka,NGA,0,0.36,6,7,100.0,1.058
Piotr Zieliński,POL,0,0.38,8,3,100.0,1.061
Jonas Wind,DEN,0,0.38,5,4,85.5,1.062
Youssef En-Nesyri,MAR,1,1.51,8,3,100.0,1.062
Enzo Fernández,ARG,0,0.39,6,5,100.0,1.063
Julian Araujo,MEX,0,0.39,8,3,85.5,1.063
Declan Rice,ENG,0,0.39,9,7,100.0,1.063
Aurélien Tchouaméni,FRA,0,0.4,12,5,95.0,1.065
Christoph Baumgartner,AUT,1,1.55,8,4,100.0,1.067
Álvaro Morata,ESP,1,1.57,14,7,85.5,1.069
Ondřej Lingr,CZE,0,0.44,5,3,100.0,1.07
Lamine Yamal,ESP,1,1.59,18,7,90.0,1.071
Yannick Carrasco,BEL,0,0.46,6,4,85.5,1.073
Georges-Kévin N'Koudou,CMR,0,0.46,6,4,85.7,1.073
Félix Torres Caicedo,ECU,0,0.46,5,4,95.0,1.074
Moses Simon,NGA,0,0.46,5,7,85.5,1.074
Gianluca Lapadula,PER,0,0.5,8,3,95.0,1.08
Shamar Nicholson,JAM,0,0.5,6,3,100.0,1.081
Lorenzo Pellegrini,ITA,0,0.5,7,4,100.0,1.081
Gianluca Scamacca,ITA,0,0.53,6,4,100.0,1.085
Artem Dovbyk,UKR,0,0.55,6,3,100.0,1.087
Dennis Man,ROU,0,0.55,6,4,100.0,1.087
Ángel Correa,ARG,0,0.55,6,5,85.5,1.088
Zaidu Sanusi,NGA,0,0.56,6,6,100.0,1.089
Kenan Yıldız,TUR,0,0.59,11,5,100.0,1.094
Kristjan Asllani,ALB,0,0.63,8,3,100.0,1.1
Tijjani Reijnders,NED,0,0.63,10,6,100.0,1.1
Cyle Larin,CAN,0,0.63,7,5,100.0,1.1
André Ferreira,POR,0,0.64,8,4,85.5,1.102
Nicolás González,ARG,0,0.66,5,5,95.0,1.105
Memphis,NED,1,1.95,18,6,90.0,1.113
Amine Adli,MAR,0,0.71,5,4,100.0,1.113
Alphonso Davies,CAN,1,1.97,8,6,100.0,1.114
Phil Foden,ENG,0,0.75,13,7,100.0,1.118
Orkun Kökçü,TUR,0,0.8,6,4,100.0,1.125
Roland Sallai,HUN,0,0.83,8,3,100.0,1.129
Benjamin Šeško,SVN,0,0.84,8,4,100.0,1.132
Pedro,ESP,0,0.85,6,4,90.0,1.133
Rodrygo,BRA,0,0.9,10,4,90.0,1.141
Lucas,BRA,1,2.21,11,4,90.0,1.142
João Félix,POR,0,0.96,5,2,90.0,1.15
Santiago Giménez,MEX,0,1.03,8,3,95.0,1.159
Kai Havertz,GER,2,3.78,19,5,100.0,1.164
Yangel Herrera,VEN,0,1.09,8,4,85.5,1.168
Rasmus Højlund,DEN,0,1.1,6,4,85.5,1.17
Kylian Mbappé,FRA,1,2.51,24,5,90.0,1.173
José María Giménez,URU,0,1.15,5,5,90.0,1.176
Aleksandar Mitrović,SRB,0,1.15,10,3,100.0,1.177
Marcus Thuram,FRA,0,1.18,12,4,100.0,1.18
Younes Taha El Idrissi,MAR,0,1.33,6,4,85.5,1.202
Lionel Messi,ARG,1,2.83,14,5,85.5,1.208
Antoine Griezmann,FRA,0,1.52,12,6,100.0,1.227
Cristiano Ronaldo,POR,2,4.54,25,5,90.0,1.228
Victor Osimhen,NGA,1,3.11,24,7,95.0,1.236
Romelu Lukaku,BEL,0,1.75,11,4,90.0,1.258
Tani Oluwaseyi,CAN,0,1.78,9,5,82.4,1.262
Daniel Munie,USA,0,2.16,7,3,85.5,1.265
